股票代码,公司简称,cos,Indcd,文字数量
300263,隆华科技,1.0000000000000004,C34,20404
688093,世华科技,0.3317839554096921,C39,14401
300137,先河环保,0.2975531898876301,C40,11586
688178,万德斯,0.2963780377847251,N77,14936
002526,山东矿机,0.2920772307732638,C35,10279
600456,宝钛股份,0.2906420570658926,C32,20932
300515,三德科技,0.287919315463139,C40,13202
002417,深南股份,0.2858694254112882,C39,13834
300882,万胜智能,0.2852063831964613,C40,15261
002649,博彦科技,0.2851079011525333,I65,19876
300277,海联讯,0.2845684490103292,I64,14102
000962,东方钽业,0.28287112691924765,C32,17333
002025,航天电器,0.2811770197827382,C39,15903
000880,潍柴重机,0.28115243981179644,C34,8786
300864,南大环境,0.28016977023217043,N77,17088
000973,佛塑科技,0.2770993514446879,C29,18640
300950,德固特,0.2769527268729718,C35,12960
000912,泸天化,0.2768244616510439,C26,16290
002514,宝馨科技,0.27658596469893054,C33,15661
688350,富淼科技,0.2734423532500536,C26,17881
300943,春晖智控,0.2705335534716485,C34,12398
300775,三角防务,0.2701871474633277,C37,14575
002134,天津普林,0.26982875503842785,C39,10426
300351,永贵电器,0.2696663772815042,C39,9216
688329,艾隆科技,0.2664493703176322,C35,16051
600775,南京熊猫,0.2664202680760688,C39,26661
688619,罗普特,0.26588343460069064,I65,17871
300423,昇辉科技,0.26543370629377067,C38,17415
002669,康达新材,0.2637420310092755,C26,34925
002130,沃尔核材,0.2636546722368366,C41,23665
003019,宸展光电,0.2629747837459981,C39,17299
603408,建霖家居,0.2628665098626918,C29,13683
300502,新易盛,0.262473735373881,C39,13242
300935,盈建科,0.2623516054803513,I65,13287
300062,中能电气,0.2621259124000896,C38,22794
002139,拓邦股份,0.26137334512487087,C39,24513
300339,润和软件,0.26072884925973994,I65,21542
300538,同益股份,0.25956935591662456,F51,26991
002384,东山精密,0.2593112357153203,C33,19689
002887,绿茵生态,0.2591312288439858,E48,18032
000021,深科技,0.2590760978741284,C39,20554
300925,法本信息,0.2587960666340099,I65,17390
002402,和而泰,0.2585951006638377,C39,28061
300675,建科院,0.2584847811319748,M74,24060
002204,大连重工,0.25822084310600574,C34,29665
300501,海顺新材,0.2581236130749303,C27,20406
300447,全信股份,0.2580370778334343,C38,20921
300484,蓝海华腾,0.257844441279708,C38,16866
000561,烽火电子,0.25756576121289143,C38,11980
603100,川仪股份,0.25730730239599375,C40,28998
300732,设研院,0.25686956083422763,M74,28548
000680,山推股份,0.2566308425593482,C35,19891
002298,中电兴发,0.25652265593823387,C38,31852
002824,和胜股份,0.2563328073121927,C32,20188
300114,中航电测,0.2561138861088188,C39,18853
300169,天晟新材,0.2553955273989154,C29,23454
300377,赢时胜,0.2553632739851349,I65,15304
300059,东方财富,0.2553408103725814,I64,14989
688318,财富趋势,0.2552509252892707,I65,10702
002690,美亚光电,0.2552486930589184,C35,19504
300730,科创信息,0.2551215885455499,I65,17082
002537,海联金汇,0.2547696476835368,C34,24659
300923,研奥股份,0.254525635281436,C37,16749
002896,中大力德,0.254487280805018,C34,12851
002957,科瑞技术,0.2542410834919732,C35,28622
000576,甘化科工,0.25406122076855686,C13,17664
300304,云意电气,0.2536095222251541,C36,23000
002540,亚太科技,0.2535080988074251,C32,30111
300678,中科信息,0.25339238252401114,I65,26561
600378,昊华科技,0.2529717824422145,C26,28306
002835,同为股份,0.2529290656083612,C39,13433
300516,久之洋,0.25270641363840524,C39,11236
002701,奥瑞金,0.2525356914970306,C33,13125
603283,赛腾股份,0.2525071127268704,C35,14688
688030,山石网科,0.25236673802029397,I65,24697
603183,建研院,0.25179482380858637,M74,11214
300926,博俊科技,0.25128206854593277,C36,17147
002420,ST毅昌,0.25126124874371114,C29,11363
300409,道氏技术,0.25104167360717083,C30,24203
300922,天秦装备,0.25080679591562655,C41,24300
300803,指南针,0.2506576845891975,I65,21764
300692,中环环保,0.25051982843937337,N77,22157
300916,朗特智能,0.25032445270311543,C39,17922
300321,同大股份,0.2501858581865507,C29,9329
003028,振邦智能,0.25007688657469596,C39,13157
002276,万马股份,0.2500242419259184,C38,30478
002962,五方光电,0.24992928231160144,C39,16145
600287,江苏舜天,0.24957895880258157,F52,20657
002396,星网锐捷,0.24908562696481498,C39,16625
300720,海川智能,0.24900450478137925,C40,12559
002313,日海智能,0.24880644649052164,C39,18433
002295,精艺股份,0.2487271081010217,C32,18457
000657,中钨高新,0.24865524523692914,C32,16240
300580,贝斯特,0.24852577256691638,C36,31377
300828,锐新科技,0.24827054825758402,C33,15922
002371,北方华创,0.24825729943928757,C39,19386
688012,中微公司,0.2481698830661342,C35,20925
300525,博思软件,0.24814005509021536,I65,29050
601616,2020年,0.24807668851243123,C38,13146
000823,超声电子,0.24764143179426723,C39,22576
002217,合力泰,0.24699759386716422,C26,14545
300628,亿联网络,0.24691411004058905,C39,19371
300762,上海瀚讯,0.2469130419141152,C39,20109
300179,四方达,0.24689770374363854,C30,11702
300408,三环集团,0.2468529825966228,C39,7640
605005,合兴股份,0.2467868862837707,C36,16215
300822,贝仕达克,0.24675736021005185,C39,13316
300700,岱勒新材,0.24666085488911582,C30,17551
600271,航天信息,0.2466399069459382,C39,26115
300324,旋极信息,0.24638949285212303,I65,30339
002584,西陇科学,0.24635966970775425,C26,16598
601608,中信重工,0.24631510841231063,C35,21070
603169,兰石重装,0.24625785771488767,C35,8734
300951,博硕科技,0.24618870883322935,C39,13057
002195,二三四五,0.24600211655220852,I65,27443
603279,景津环保,0.2459035700086424,C34,11323
300851,交大思诺,0.24587290996454708,I65,21192
300606,金太阳,0.245871489163681,C30,18854
300504,天邑股份,0.2457032740552037,C39,21143
688051,佳华科技,0.2456531992758845,I65,13137
002912,中新赛克,0.2456530469415664,I65,24450
300280,紫天科技,0.24530532304503164,C34,13881
300634,彩讯股份,0.24527566568348622,I65,32301
300806,斯迪克,0.24521460240283527,C29,22889
000816,智慧农业,0.244934378763065,C34,16244
002886,沃特股份,0.24469920658112007,C29,21211
000010,美丽生态,0.24445174415946297,F52,13323
300176,派生科技,0.24428990072105372,C34,15359
300561,汇金科技,0.24426194458892497,I65,21208
300684,中石科技,0.24418555373487696,C26,15751
603712,七一二,0.24415455904499533,C39,16008
300445,康斯特,0.24391398354197766,C40,24445
300830,金现代,0.24385098720339854,I65,17135
300879,大叶股份,0.24383061519979593,C35,16600
688519,南亚新材,0.24360864453820746,C39,13918
300845,捷安高科,0.2433671174475366,I65,17742
300976,达瑞电子,0.24334166698118415,C39,15478
300812,易天股份,0.24329155149240372,C35,19889
002158,汉钟精机,0.2432751354465335,C34,18878
